time,z,Q,F,volt,temp,amps,watts
0.05,0.0,0.43799999999999994,-1.16,12.59157669,25.536046432,0.5615539999999999,7.075580399999998
0.1,0.0,0.70164,-1.0248,12.589296748174501,26.2248241183635,0.7135501216999514,8.984721079543771
0.15000000000000002,0.0,0.9072792000000001,-0.9193439999999999,12.587323353885088,27.045971103495344,0.845109740994133,10.639337314148033
0.2,0.0,1.067677776,-0.8370883199999999,12.585666308019121,27.978226121193007,0.9555794653919231,12.02818772122078
0.25,0.0,1.19278866528,-0.7729288896,12.58430222473338,29.001916581374132,1.0465183511080312,13.171130752264073
0.3,0.0,1.2903751589183998,-0.7228845338879999,12.583194727055728,30.099823961106633,1.1203515296180795,14.098842246656243
0.35,0.0,1.3664926239563517,-0.68384993643264,12.58230442618791,31.25738050022405,1.1797049208059942,14.844456738967683
0.39999999999999997,0.0,1.4258642466859544,-0.6534029504174592,12.581593907755465,32.46253279844927,1.227072816302297,15.439403727815257
0.44999999999999996,0.0,1.4721741124150443,-0.6296543013256182,12.581029922920766,33.70545976490119,1.264671805282237,15.911587080649099
0.49999999999999994,0.0,1.5082958076837345,-0.6111303550339822,12.580584066691806,34.97824610053756,1.294395553879582,16.28482919545462
0.5499999999999999,0.0,1.536470729993313,-0.5966816769265062,12.580232681178103,36.27456298700141,1.3178212547931154,16.57896108079807
0.6,0.0,1.5584471693947841,-0.5854117080026748,12.579956400045068,37.58937979340929,1.3362399969953742,16.810210080098535
0.65,0.0,1.5755887921279315,-0.5766211322420862,12.579739562281196,38.91871538353397,1.3506958479202384,16.991694876558505
0.7000000000000001,0.0,1.5889592578597864,-0.5697644831488273,12.579569614619738,40.2594296621512,1.3620256920174496,17.133928482715334
0.7500000000000001,0.0,1.5993882211306334,-0.5644162968560853,12.57943656014105,41.609052186000284,1.3708959905966434,17.24528154811356
0.8000000000000002,0.0,1.607522812481894,-0.5602447115477467,12.579332476334054,42.96564313432544,1.37783491106299,17.332386854064467
0.8500000000000002,0.0,1.6138677937358774,-0.5569908750072423,12.579251107658997,44.32768161578208,1.383259489400111,17.400481018208076
0.9000000000000002,0.0,1.6188168791139843,-0.554452882505649,12.5791875285758,45.69397657160072,1.3874980949466997,17.453686947733022
0.9500000000000003,0.0,1.6226771657089079,-0.5524732483544064,12.57913786904725,47.06359607826927,1.3908087301833572,17.49524383335683
1.0000000000000002,0.0,1.6256881892529482,-0.5509291337164368,12.579099093340364,48.43581147272073,1.3933937773090626,17.527692430643217
1.0500000000000003,0.0,1.6280367876172996,-0.5497247242988206,12.579068823178211,49.810053325422096,1.3954117881192296,17.553023158767058
1.1000000000000003,0.0,1.6298686943414937,-0.5487852849530801,12.579045197174663,51.185876828974315,1.3969868550224578,17.572793794402777
1.1500000000000004,0.0,1.631297581586365,-0.5480525222634025,12.579026759597483,52.56293463673149,1.3982160268344614,17.588222596964673
1.2000000000000004,0.0,1.7231832205241533,-0.5474809673654539,12.578137273848467,53.99966432898686,1.4575150767688463,18.334121153192097
1.2500000000000004,0.0,1.7940829120088395,-0.5107267117903387,12.577195783900208,55.49944865179048,1.5202810733194112,19.12230403504524
1.3000000000000005,0.001891099458697329,1.8437113729908028,-0.48236683519646406,12.576506035071924,57.04538570053981,1.5662643285384146,19.69921310936664
1.3500000000000005,0.005564942651398242,1.8770166083709625,-0.46251545080367884,12.576031047289792,58.62309598541595,1.5979301806804873,20.09637856095172
1.4000000000000006,0.010906118545771374,1.8978824785666895,-0.44919335665161486,12.575724307277932,60.221319267374284,1.6183795148044955,20.352791024479124
1.4500000000000006,0.017796260105696442,1.9093507250458694,-0.44084700857332404,12.575547180940589,61.831382792851024,1.6301879372939854,20.500794068459246
1.5000000000000007,0.026117067896753395,1.9137972543594364,-0.4362597099816521,12.575468231323264,63.446718336457515,1.6354512451157501,20.56669429508115
1.5500000000000007,0.03575249897254183,1.9130720531360925,-0.4344810982562253,12.575462287128966,65.06244222274564,1.6358475247356212,20.5715485786016
1.6000000000000008,0.04659031092150254,1.9086101906300939,-0.4347711787455628,12.57550945675706,66.67500170510783,1.6327028828627554,20.531993529527323
1.6500000000000008,0.05852311045399676,1.9015198407663454,-0.43655592374796237,12.575594198923357,68.28188374371614,1.6270534051095362,20.46102548260375
1.7000000000000008,0.071449023830803,1.8926520423537108,-0.43939206369346184,12.575704499005653,69.88137900432652,1.6197000662897976,20.368690757629754
1.7500000000000009,0.08527208104448117,1.8826559506799359,-0.44293918305851565,12.575831166100748,71.47239294140674,1.6112555932834494,20.262674213502695
1.800000000000001,0.09990238558654929,1.872022565472811,-0.4469376197280255,12.575967247942843,73.05429604715376,1.6021834704771312,20.148788821837766
1.850000000000001,0.11525612577069191,1.8611193089487683,-0.4511909738108755,12.576107552415905,74.62680611803786,1.5928298389396653,20.031375886051304
1.900000000000001,0.13125547106441032,1.8502173413257632,-0.4555522764204927,12.576248261252962,76.18989636358255,1.5834492498025101,19.913628069308647
1.950000000000001,0.14782838701641476,1.8395131142461496,-0.4599130634696946,12.57638662119986,77.74372417199615,1.5742252533425765,19.79784760517008
2.000000000000001,0.16490839460454476,1.8291453547371141,-0.4641947543015401,12.576520699002089,79.28857626237082,1.5652867331940676,19.685651129683507
2.0500000000000007,0.18243429373201792,1.8192084274743932,-0.4683418581051544,12.57664918824074,80.82482675532464,1.5567207839506945,19.578131161922666
2.1000000000000005,0.20034986582118258,1.809762828350572,-0.4723166290102425,12.576771257855457,82.35290537418336,1.5485828096361596,19.47598273573417
2.1500000000000004,0.21860356671801573,1.800843407448311,-0.476094868659771,12.576886433921747,83.87327355295416,1.5409044052169172,19.379602234634984
2.2,0.237148218208536,1.7924657963365813,-0.4796626370206756,12.576994507794588,85.38640668801511,1.5336994803607489,19.289164188261935
2.25,0.2559407041864645,1.784631416662492,-0.4830136814653674,12.57709546505567,86.8927811424067,1.5269689962886477,19.204680679894935
2.3,0.2749416757621545,1.7773313691440795,-0.4861474333350031,12.577189430809508,88.39286490945243,1.5207046126994603,19.126047088071623
2.3499999999999996,0.2941152682568676,1.770549440175378,-0.48906745234236815,12.577276627783712,89.88711107943125,1.514891481085768,19.053077124735285
2.3999999999999995,0.31342883199742544,1.7642644140674155,-0.49178022392984877,12.577357344426385,91.37595344069517,1.5095103715743416,18.985529515799076
2.4499999999999993,0.33285267804565793,1.7584518398679638,-0.49429423437303366,12.577431910786313,92.85980369467615,1.5045392809124545,18.92312817476225
2.499999999999999,0.352359839410753,1.7504417827982848,-0.4878073045125739,12.577466065316793,94.34137185019682,1.5022623122137206,18.894601944008482
2.549999999999999,0.3719258478578001,1.7387977807461286,-0.4755633225037872,12.577497313350252,95.82084799801369,1.5001791099831987,18.86845184771083
2.5999999999999988,0.3915266902838346,1.7247365112692616,-0.46592937103861143,12.577571480694669,97.29535275164157,1.495234620355411,18.806309420348466
2.6499999999999986,0.411137790238872,1.7091862767371164,-0.4583417238946943,12.577675288571225,98.76290290514179,1.488314095251622,18.71937691875269
2.6999999999999984,0.4307349164622295,1.6928461464222975,-0.4523466991204377,12.577798496801483,100.22220049527039,1.4801002132344094,18.61621987660743
2.7499999999999982,0.45029481583815323,1.6762343487509728,-0.4475818753084766,12.577933283214529,101.67247098707645,1.4711144523647057,18.503381147575734
2.799999999999998,0.4697956341757778,1.6597275673111738,-0.44375984307772165,12.578073774120886,103.11333288713077,1.4617483919409149,18.38577375067895
2.849999999999998,0.4892171756609009,1.6435926216559742,-0.4406543485218677,12.57821564394298,104.54469415436755,1.4522904038012405,18.267015840459816
2.8999999999999977,0.5085410414202745,1.6280118322293542,-0.4380886176230834,12.578355781538336,105.96667093972975,1.4429478974442254,18.14970981702759
2.9499999999999975,0.5277506790927523,1.61310319083424,-0.43592562029287674,12.578492016972223,107.37952460728529,1.4338655351851188,18.0356708444443
2.9999999999999973,0.5468313683416967,1.598936291567982,-0.43406002645593844,12.578622900978022,108.78361351071985,1.4251399347985507,17.926111292931886
3.049999999999997,0.5657701616197162,1.585544826135274,-0.4324116153613322,12.578747529094347,110.1793565359797,1.4168313937102286,17.82178781574809
3.099999999999997,0.5845557949879189,1.572936313627896,-0.43091991686449704,12.578865402919817,111.56720592691701,1.4089731386788178,17.723117386716485
3.149999999999997,0.6031785802035738,1.5610996184255794,-0.42953988552358524,12.578976321720333,112.94762736347279,1.4015785519777406,17.630267956947257
3.1999999999999966,0.6216302864558687,1.5500107100627765,-0.42823843214248924,12.57908029854186,114.32108565306953,1.3946467638759326,17.543228619959244
3.2499999999999964,0.6399040179081265,1.539637034410859,-0.42699166101603137,12.579177495898502,115.68803472565322,1.3881669400997692,17.461863407296146
3.2999999999999963,0.6579940914779786,1.529940794757008,-0.4257826834467846,12.57926817695428,117.04891089581686,1.382121536381388,17.385952127045417
3.349999999999996,0.6758959179562478,1.5208813826416483,-0.42459989846495994,12.579352668867275,118.40412857825382,1.3764887421816874,17.315221030461924
3.399999999999996,0.6936058885497162,1.5124171499967571,-0.4234356497945535,12.57943133560797,119.75407782260001,1.371244292801968,17.249365554327454
3.4499999999999957,0.711121268166427,1.5045066746611897,-0.42228518390244085,12.579504558102807,121.09912317747303,1.3663627931462514,17.188066935912786
3.4999999999999956,0.7284400961910834,1.4971096393322612,-0.42114584752050854,12.5795727199989,122.43960350751816,1.3618186667399033,17.1310041255641
3.5499999999999954,0.7455610950793066,1.4901874182013504,-0.4200164745090571,12.579636197708163,123.77583247704266,1.3575868194557992,17.077862119056242
3.599999999999995,0.7624835867984703,1.4837003702473663,-0.41888667292007065,12.579695325101534,125.10810140149829,1.3536449932310308,17.028361555695497
3.649999999999995,0.7792074169320939,1.4776109585360486,-0.41775541106081393,12.579750470935329,126.4366769007535,1.349968604311413,16.982193740690125
3.699999999999995,0.795732883987533,1.4718854310757532,-0.4166273068919639,12.579801998953359,127.76180123770513,1.3465334031093872,16.939054211895463
3.7499999999999947,0.8120606756922437,1.4664941764121344,-0.41550883359238244,12.579850241748689,129.08369440638924,1.3433172167540812,16.898664608551453
3.7999999999999945,0.8281918129125954,1.4614104151120149,-0.4144029609097204,12.579895483086343,130.40255740349065,1.3403011275771457,16.860787463767398
3.8499999999999943,0.8441276008511954,1.4566097669709148,-0.41331170524426475,12.579937977261087,131.71857419940972,1.3374681825942036,16.825209948988523
3.899999999999994,0.8598695860464395,1.4520700427523217,-0.4122367869658883,12.579977954996886,133.0319133157676,1.3348030002076037,16.791738954473672
3.949999999999994,0.8754195184241075,1.4477710503945749,-0.4111796554396083,12.580015625538763,134.34272926332363,1.3322916307490913,16.76019934445042
